Parcel_No,SalePrice,PricePerSq,LivingArea,Style,GROSS_AREA,NUM_FLOORS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_AC,R_FPLACE,LU,OWN_OCC,R_BLDG_STY,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RM,R_HEAT_TYP,YR_BUILT,Latitude,Longitude
103825000,465000,174.29,2785,Row Middle,4059,3,5,4,0,3,N,0,R3,N,RM,F,M,14,E,1900,42.37153,-71.03654
103826000,465000,211.17,2202,Row Middle,3575,3,7,3,1,3,N,0,R3,N,RM,F,M,14,S,1910,42.37157,-71.0365
103885000,900000,243.9,3632,Row Middle,4854,4,6,4,3,3,C,0,R3,Y,RE,F,B,14,W,1910,42.37073,-71.03753
103968000,780000,205.53,3795,Decker,5543,3,9,3,0,3,N,0,R3,N,DK,F,B,17,F,1900,42.37026,-71.03559
104079000,769000,208.74,3684,Semi?Det,5421,3,6,3,0,3,N,0,R3,N,SD,F,B,17,F,1908,42.36926,-71.03335
104295004,450000,265.33,1944,Two Fam Stack,3076,2,2,2,0,2,N,0,R2,Y,TF,F,M,8,W,1910,42.38095,-71.01485
104295008,345000,255.18,1352,Colonial,2291,2,2,2,0,1,C,0,R1,Y,CL,G,M,7,F,1900,42.38078,-71.01535
104300000,575000,219.3,2622,Conventional,4566,2,3,3,0,3,N,2,R3,Y,CV,H,W,10,W,1900,42.38093,-71.01402
104307000,480000,359.28,1336,Colonial,2147,2,2,1,1,1,N,0,R1,Y,CL,F,W,6,W,1912,42.38125,-71.01318
104310000,650000,294.92,2204,Two Fam Stack,3586,2,2,2,0,2,C,1,R2,Y,TF,F,S,5,F,1900,42.38134,-71.01293
104457000,396000,312.3,1268,Row End,2193,2,2,2,0,1,N,0,R1,Y,RE,G,M,5,W,1900,42.36664,-71.03813
104605000,1175000,356.06,3420,Semi?Det,4630,4,4,3,0,2,N,0,R2,Y,SD,F,B,9,W,1900,42.36519,-71.03468
104636000,1015000,353.78,2100,Row End,3084,3,3,4,0,3,N,0,R3,N,RE,G,B,11,F,1899,42.36464,-71.03223
104800000,675000,201.61,3348,Semi?Det,4555,3,5,3,0,3,N,0,R3,N,SD,F,M,8,W,1910,42.366819,-71.035727
104808000,345000,176.47,1597,Semi?Det,2178,2,2,2,0,2,N,0,R2,N,SD,G,M,6,W,1910,42.36663,-71.03555
104817000,575000,241.6,2380,Conventional,4073,2,5,3,0,3,N,0,R3,N,CV,F,M,12,W,1900,42.366752,-71.036663
104852000,587500,230.57,2548,Semi?Det,3451,3,4,2,0,2,N,0,R2,N,SD,F,M,14,W,1910,42.36773,-71.03808
104908000,450000,203.25,2214,Row End,3168,3,7,3,0,3,N,0,R3,N,RE,G,B,15,W,1899,42.367626,-71.036449
104914000,460000,391.16,1176,Row Middle,1776,2,3,1,0,1,N,0,R1,Y,RM,G,V,5,W,1910,42.367801,-71.036877
